Nazwa pytania,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Źródło pytania,O co chcemy zapytać,Jaki ma związek z bezpieczeństwem,Status,Podmiot
W16(1),99,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,T,AK_D05_06_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,art. 3 ust. 1 pkt oraz art. 26 ust. 6 ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),Znajomość  zasad zachowania podczas przejeżdżania obok przystanków komunikacji publicznej,Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji,Gotowe ostatecznie,PWPW
W16(2),100,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,T,AK_D10_30_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,Art. 3 ust. 1 i art. 26 ust. 6 ustawy PRD,Znajomość zasad zachowania podczas przejeżdżania obok przystanków komunikacji publicznej,Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji,Gotowe ostatecznie,PWPW
W9(1),109,Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?,,,,N,AK_D11_43org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD,Wwiedza w zakresie koniecznej reakcji na sygnał podawany przez osobę nadzorującą bezpieczne przejście dzieci przez jezdnię w wyznaczonym miejscu,Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia,Gotowe ostatecznie,PWPW
W9(2),110,Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?,,,,N,AK_D11_45org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD,Wiedza w zakresie koniecznej reakcji na sygnał podawany przez osobę nadzorującą bezpieczne przejście dzieci przez jezdnię w wyznaczonym miejscu,Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia,Gotowe ostatecznie,PWPW
C4(33),290,Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?,Nie mniejszą niż 800 metrów.,Nie mniejszą niż 500 metrów.,Nie mniejszą niż 200 metrów.,B,,SPECJALISTYCZNY,3,C,C4,Art 32 ust..2 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2012 poz. 1137.),Warunki utrzymywania bezpiecznego odstępu pomiędzy kolumnami sam.ciężarowych innych niż poj. uprzywilejowanie i pojazdy podległe MON,Niewlaściwy odstęp - zagrożenie,Gotowe ostatecznie,PWPW
C4(34),293,"Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?",Prędkość pojazdów.,Moc silnika.,Szerokość pojazdów.,A,,SPECJALISTYCZNY,3,C,C4,"art 19 ust. 1 i 2 pkt 3 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.)",Warunki utrzymywania bezpiecznego odstępu,Niewłaściwy odstęp - zagrożenie.,Gotowe ostatecznie,PWPW
W3(1),352,Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?,,,,N,IMG_4251orgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,"Art. 22 ust. 6 pkt 1 ustawy ""Prawo o ruchu drogowym""(Dz. U. z 2013 poz. 1137, z późn. zm.) i dodanie w do § 44 ust. 1 w rozporządzeniu w sprawie znaków i sygnałów drogowych",Znajomość znaczenia znaku D-3 i ograniczeń związanych z tym znakiem,Znajomość zasad zawracania ma istotne znaczenie dla bezpieczeństwa ruchu drogowego,Gotowe ostatecznie,PWPW
W5(1),469,"Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?",,,,T,3106D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W5(2),475,Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?,,,,N,0118D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 96 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W5(3),477,Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?,,,,N,2064D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 97 rozporządzenie Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
